                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5688,                   4.87,                 1.5541,                0.00745,                0.16923,                0.01301,                0.00798,                 1.9043,                 5.2455,                 2.0748,                      0,                      0,                      0
                      2,                 1.5679,                 5.3012,                 1.6079,                0.00704,                0.16923,                 0.0123,                0.00651,                 1.8935,                 5.2346,                 2.0719,             1.8685e-06,             1.8685e-06,             1.8685e-06
